BUDGET FISCAL YEAR,DEPARTMENT NAME,TOTAL BUDGET
2012,RECREATION AND PARKS,"$1,292,910.72 "
2018,CITY CLERK,"$1,293,331.86 "
2015,NON-DEPARTMENTAL - GENERAL,"$1,293,442.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,294,500.00 "
2018,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$1,294,800.21 "
2013,NON-DEPARTMENTAL - GENERAL,"$1,294,894.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,295,000.00 "
2015,CITY PLANNING,"$1,295,268.97 "
2015,PUBLIC WORKS - CONTRACT ADMINISTRATION,"$1,295,299.00 "
2017,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,295,727.00 "
2018,TRANSPORTATION,"$1,296,847.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,297,000.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,297,108.71 "
2018,BUILDING AND SAFETY,"$1,297,112.00 "
2016,CITY ADMINISTRATIVE OFFICER,"$1,299,749.00 "
2015,POLICE,"$1,300,000.00 "
2012,NON-DEPARTMENTAL - WATER AND ELECTRICITY,"$1,300,000.00 "
2018,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,"$1,300,000.00 "
2017,PENSION,"$1,300,000.00 "
2017,NON-DEPARTMENTAL - WATER AND ELECTRICITY,"$1,300,000.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,300,000.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,300,000.00 "
2013,CITY ETHICS COMMISSION,"$1,300,000.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,300,000.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,300,000.00 "
2016,CITY ADMINISTRATIVE OFFICER,"$1,300,000.00 "
2017,TRANSPORTATION,"$1,300,000.00 "
2017,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,"$1,300,000.00 "
2018,BUILDING AND SAFETY,"$1,300,593.00 "
2018,CITY ADMINISTRATIVE OFFICER,"$1,302,500.00 "
2015,EL PUEBLO DE LOS ANGELES HISTORICAL MONUMENT AUTHORITY,"$1,302,662.40 "
2013,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,302,801.84 "
2014,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,303,277.00 "
2012,CULTURAL AFFAIRS,"$1,305,800.87 "
2013,PUBLIC WORKS - ENGINEERING,"$1,306,340.00 "
2012,FIRE,"$1,306,384.00 "
2018,RECREATION AND PARKS,"$1,306,952.47 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,308,052.00 "
2018,BUILDING AND SAFETY,"$1,309,540.00 "
2012,RECREATION AND PARKS,"$1,309,824.00 "
2013,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$1,309,885.26 "
2012,PUBLIC WORKS - ENGINEERING,"$1,310,216.00 "
2018,INFORMATION TECHNOLOGY AGENCY,"$1,310,567.40 "
2012,CITY ADMINISTRATIVE OFFICER,"$1,311,376.00 "
2015,MAYOR,"$1,311,800.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,313,333.00 "
2013,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,313,697.61 "
2016,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,313,842.46 "
2015,CITY ADMINISTRATIVE OFFICER,"$1,315,159.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,315,200.00 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,315,200.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,315,200.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,315,200.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,315,200.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,315,200.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,315,200.00 "
2016,RECREATION AND PARKS,"$1,316,894.79 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,317,000.00 "
2016,CITY ADMINISTRATIVE OFFICER,"$1,317,550.00 "
2018,COUNCIL,"$1,317,596.96 "
2013,GENERAL SERVICES,"$1,317,932.32 "
2014,MAYOR,"$1,318,100.00 "
2015,PUBLIC WORKS - ENGINEERING,"$1,318,110.00 "
2014,TRANSPORTATION,"$1,319,014.44 "
2015,TRANSPORTATION,"$1,320,150.00 "
2016,TRANSPORTATION,"$1,321,445.82 "
2014,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$1,321,767.48 "
2016,LOS ANGELES DEPARTMENT OF CONVENTION AND TOURISM DEVELOPMENT,"$1,323,228.00 "
2013,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,323,756.34 "
2016,POLICE,"$1,323,970.98 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,324,444.64 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,324,482.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,324,511.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,325,000.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,326,018.11 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,326,265.00 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,327,000.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,327,000.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,327,000.00 "
2016,PUBLIC WORKS - CONTRACT ADMINISTRATION,"$1,327,219.54 "
2018,PUBLIC WORKS - ENGINEERING,"$1,327,246.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,327,476.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,327,572.00 "
2012,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,328,000.00 "
2014,TRANSPORTATION,"$1,329,941.56 "
2017,TRANSPORTATION,"$1,330,000.00 "
2012,PUBLIC WORKS - STREET SERVICES,"$1,330,037.00 "
2015,TRANSPORTATION,"$1,331,071.61 "
2014,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,331,710.08 "
2016,RECREATION AND PARKS,"$1,333,234.11 "
2014,PUBLIC WORKS - CONTRACT ADMINISTRATION,"$1,334,119.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,335,875.00 "
2017,CITY ADMINISTRATIVE OFFICER,"$1,336,000.00 "
2017,NON-DEPARTMENTAL - GENERAL,"$1,336,000.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,336,845.93 "
2013,TRANSPORTATION,"$1,336,978.90 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,337,777.96 "
2012,TRANSPORTATION,"$1,338,000.00 "
2014,TRANSPORTATION,"$1,338,027.56 "
2017,PUBLIC WORKS - CONTRACT ADMINISTRATION,"$1,339,174.00 "
2013,PUBLIC WORKS - STREET SERVICES,"$1,342,482.42 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,343,066.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,345,221.00 "
2013,EL PUEBLO DE LOS ANGELES HISTORICAL MONUMENT AUTHORITY,"$1,345,556.31 "
2017,TRANSPORTATION,"$1,345,595.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,345,815.47 "
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,347,744.88 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,348,000.00 "
2016,RECREATION AND PARKS,"$1,348,559.25 "
2013,NON-DEPARTMENTAL - WATER AND ELECTRICITY,"$1,350,000.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,350,000.00 "
2017,TRANSPORTATION,"$1,350,000.00 "
2015,NON-DEPARTMENTAL - HUMAN RESOURCES BENEFITS,"$1,350,082.00 "
2012,MAYOR,"$1,350,626.75 "
2016,COUNCIL,"$1,351,000.45 "
2017,MAYOR,"$1,351,165.00 "
2018,TRANSPORTATION,"$1,352,168.00 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,353,850.00 "
2018,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$1,354,967.37 "
2018,PENSION,"$1,355,000.00 "
2016,PUBLIC WORKS - SANITATION,"$1,355,741.57 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,355,874.00 "
2015,RECREATION AND PARKS,"$1,356,319.81 "
2013,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$1,356,968.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,357,307.00 "
2015,ZOO,"$1,358,872.00 "
2016,PENSION,"$1,360,000.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,360,172.50 "
2013,RECREATION AND PARKS,"$1,361,762.03 "
2014,CITY PLANNING,"$1,363,709.85 "
2016,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,365,000.00 "
2013,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,365,000.00 "
2012,OFFICE OF FINANCE,"$1,365,000.00 "
2018,TRANSPORTATION,"$1,366,075.00 "
2013,PUBLIC WORKS - ENGINEERING,"$1,366,191.00 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,367,749.62 "
2017,AGING,"$1,368,887.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,369,859.24 "
2013,CITY ADMINISTRATIVE OFFICER,"$1,370,000.00 "
2018,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,"$1,370,000.00 "
2018,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,370,975.00 "
2018,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$1,371,585.35 "
2013,PERSONNEL,"$1,372,461.00 "
2014,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,374,114.85 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,374,559.73 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,374,971.48 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,375,125.09 "
2014,INFORMATION TECHNOLOGY AGENCY,"$1,375,242.92 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,376,000.00 "
2016,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,376,965.66 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,377,218.41 "
2017,COUNCIL,"$1,377,388.79 "
2013,PUBLIC WORKS - ENGINEERING,"$1,378,140.24 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,378,585.00 "
2014,EL PUEBLO DE LOS ANGELES HISTORICAL MONUMENT AUTHORITY,"$1,379,505.33 "
2013,GENERAL SERVICES,"$1,379,868.33 "
2017,LOS ANGELES DEPARTMENT OF CONVENTION AND TOURISM DEVELOPMENT,"$1,380,167.00 "
2017,RECREATION AND PARKS,"$1,380,224.13 "
2015,NON-DEPARTMENTAL - WATER AND ELECTRICITY,"$1,382,000.00 "
2016,NON-DEPARTMENTAL - HUMAN RESOURCES BENEFITS,"$1,382,504.00 "
2014,PERSONNEL,"$1,382,925.00 "
2014,TRANSPORTATION,"$1,385,000.00 "
2018,PUBLIC WORKS - STREET SERVICES,"$1,385,296.00 "
2013,TRANSPORTATION,"$1,385,753.55 "
2015,NON-DEPARTMENTAL - UNAPPROPRIATED BALANCE,"$1,386,110.00 "
2012,TRANSPORTATION,"$1,386,864.68 "
2012,FIRE,"$1,386,898.87 "
2016,EL PUEBLO DE LOS ANGELES HISTORICAL MONUMENT AUTHORITY,"$1,388,178.85 "
2014,TRANSPORTATION,"$1,388,238.07 "
2015,PUBLIC WORKS - ENGINEERING,"$1,389,666.00 "
2015,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,391,768.27 "
2017,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,394,027.00 "
2016,CITY PLANNING,"$1,394,749.00 "
2018,CANNABIS,"$1,395,481.80 "
2018,PUBLIC WORKS - ENGINEERING,"$1,396,358.00 "
2012,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,396,450.00 "
2018,PERSONNEL,"$1,396,650.06 "
2014,TRANSPORTATION,"$1,397,000.00 "
2013,PUBLIC WORKS - STREET LIGHTING,"$1,398,200.00 "
2016,PERSONNEL,"$1,398,813.00 "
2015,TRANSPORTATION,"$1,399,444.40 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,400,000.00 "
2017,TRANSPORTATION,"$1,400,000.00 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,400,012.39 "
2012,EMERGENCY OPERATIONS BOARD,"$1,401,118.25 "
2014,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,401,144.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,402,216.51 "
2015,RECREATION AND PARKS,"$1,403,426.52 "
2012,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$1,406,266.74 "
2014,TRANSPORTATION,"$1,406,818.00 "
2017,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,406,975.10 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,409,461.28 "
2014,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,410,000.00 "
2017,TRANSPORTATION,"$1,411,185.00 "
2015,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$1,411,768.00 "
2016,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,"$1,412,000.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,412,347.69 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,413,000.00 "
2018,TRANSPORTATION,"$1,413,000.00 "
2014,OFFICE OF FINANCE,"$1,413,038.00 "
2013,NON-DEPARTMENTAL - GENERAL,"$1,413,825.00 "
2012,PUBLIC WORKS - ENGINEERING,"$1,415,040.00 "
2014,PUBLIC WORKS - ENGINEERING,"$1,416,077.64 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,416,831.78 "
2012,PUBLIC WORKS - CONTRACT ADMINISTRATION,"$1,417,328.00 "
2013,FIRE,"$1,417,474.00 "
2013,TRANSPORTATION,"$1,418,750.00 "
2018,TRANSPORTATION,"$1,419,195.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,419,770.91 "
2018,TRANSPORTATION,"$1,420,270.00 "
2014,PUBLIC WORKS - ENGINEERING,"$1,420,791.00 "
2018,FIRE,"$1,421,572.57 "
2014,TRANSPORTATION,"$1,421,760.00 "
2015,PERSONNEL,"$1,421,956.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,421,962.00 "
2013,RECREATION AND PARKS,"$1,422,679.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,424,398.78 "
2018,LOS ANGELES DEPARTMENT OF CONVENTION AND TOURISM DEVELOPMENT,"$1,424,511.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,425,000.00 "
2013,BUILDING AND SAFETY,"$1,425,079.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,425,563.00 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,425,885.00 "
2014,PUBLIC WORKS - STREET LIGHTING,"$1,427,689.00 "
2018,RECREATION AND PARKS,"$1,427,740.00 "
2018,CULTURAL AFFAIRS,"$1,427,869.00 "
2014,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,"$1,428,081.00 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,428,758.00 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,429,000.00 "
2017,TRANSPORTATION,"$1,430,000.00 "
2013,TRANSPORTATION,"$1,430,318.00 "
2013,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,"$1,430,987.86 "
2013,OFFICE OF FINANCE,"$1,431,200.00 "
2014,DISABILITY,"$1,432,065.25 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,433,718.00 "
2013,BUILDING AND SAFETY,"$1,434,581.97 "
2016,RECREATION AND PARKS,"$1,435,000.00 "
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,435,680.00 "
2017,NON-DEPARTMENTAL - GENERAL,"$1,436,000.00 "
2016,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,436,445.02 "
2018,RECREATION AND PARKS,"$1,437,402.78 "
2015,INFORMATION TECHNOLOGY AGENCY,"$1,437,627.06 "
2016,PUBLIC WORKS - ENGINEERING,"$1,441,188.80 "
2013,NON-DEPARTMENTAL - GENERAL,"$1,441,250.00 "
2017,BUILDING AND SAFETY,"$1,442,420.98 "
2015,DISABILITY,"$1,442,584.84 "
2014,NON-DEPARTMENTAL - WATER AND ELECTRICITY,"$1,443,000.00 "
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,443,703.00 "
2018,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,443,927.00 "
2018,TRANSPORTATION,"$1,445,388.93 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,446,719.38 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,448,583.89 "
2012,INFORMATION TECHNOLOGY AGENCY,"$1,448,894.72 "
2018,EL PUEBLO DE LOS ANGELES HISTORICAL MONUMENT AUTHORITY,"$1,449,243.15 "
2015,RECREATION AND PARKS,"$1,449,592.02 "
2015,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$1,449,777.00 "
2016,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$1,449,777.00 "
2018,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$1,449,777.00 "
2016,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,"$1,449,788.00 "
2017,EL PUEBLO DE LOS ANGELES HISTORICAL MONUMENT AUTHORITY,"$1,449,792.59 "
2018,AGING,"$1,450,864.00 "
2013,CONTROLLER,"$1,451,316.00 "
2014,TRANSPORTATION,"$1,451,802.40 "
2012,MAYOR,"$1,452,890.26 "
2018,CULTURAL AFFAIRS,"$1,453,129.00 "
2018,RECREATION AND PARKS,"$1,454,485.25 "
2016,BUILDING AND SAFETY,"$1,455,301.13 "
2012,TRANSPORTATION,"$1,456,144.00 "
2015,LOS ANGELES DEPARTMENT OF CONVENTION AND TOURISM DEVELOPMENT,"$1,456,822.75 "
2015,LOS ANGELES DEPARTMENT OF CONVENTION AND TOURISM DEVELOPMENT,"$1,457,822.75 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,458,029.95 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,458,376.00 "
2016,DISABILITY,"$1,458,392.14 "
2017,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,459,700.01 "
2016,PUBLIC WORKS - STREET SERVICES,"$1,460,991.80 "
2014,CITY PLANNING,"$1,462,423.96 "
2017,LOS ANGELES DEPARTMENT OF CONVENTION AND TOURISM DEVELOPMENT,"$1,462,869.28 "
2016,PENSION,"$1,463,000.00 "
2012,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,463,045.69 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,463,118.55 "
2013,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,465,550.65 "
2013,MAYOR,"$1,465,658.62 "
2016,CITY ADMINISTRATIVE OFFICER,"$1,465,837.84 "
2015,CITY ATTORNEY,"$1,466,233.24 "
2016,CITY PLANNING,"$1,468,209.82 "
2013,MAYOR,"$1,468,882.63 "
2018,CITY ADMINISTRATIVE OFFICER,"$1,469,926.00 "
2018,PUBLIC WORKS - SANITATION,"$1,472,025.00 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,473,233.14 "
2012,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,474,100.76 "
2016,TRANSPORTATION,"$1,476,526.00 "
2018,OFFICE OF FINANCE,"$1,478,589.16 "
2017,PUBLIC WORKS - CONTRACT ADMINISTRATION,"$1,478,751.00 "
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,481,507.00 "
2012,CITY PLANNING,"$1,482,465.14 "
2016,TRANSPORTATION,"$1,483,182.62 "
2014,MAYOR,"$1,483,248.91 "
2014,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,483,385.00 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,484,000.00 "
2017,NON-DEPARTMENTAL - GENERAL,"$1,485,482.00 "
2016,PUBLIC WORKS - CONTRACT ADMINISTRATION,"$1,486,017.00 "
2014,NON-DEPARTMENTAL - UNAPPROPRIATED BALANCE,"$1,488,218.06 "
2012,NEIGHBORHOOD EMPOWERMENT,"$1,490,130.24 "
2012,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$1,490,323.00 "
2015,TRANSPORTATION,"$1,490,594.00 "
2012,RECREATION AND PARKS,"$1,492,901.00 "
2012,POLICE,"$1,493,394.78 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,493,472.00 "
2012,POLICE,"$1,494,417.00 "
2015,CITY ADMINISTRATIVE OFFICER,"$1,495,337.00 "
2018,TRANSPORTATION,"$1,495,375.00 "
2017,PUBLIC WORKS - STREET SERVICES,"$1,495,559.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,497,000.00 "
2016,CITY ATTORNEY,"$1,497,149.00 "
2017,RECREATION AND PARKS,"$1,498,959.26 "
2013,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$1,499,213.05 "
2013,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,"$1,499,302.72 "
2013,POLICE,"$1,499,441.56 "
2013,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,499,955.00 "
2018,TRANSPORTATION,"$1,500,000.00 "
2015,RECREATION AND PARKS,"$1,500,000.00 "
2017,RECREATION AND PARKS,"$1,500,000.00 "
2017,RECREATION AND PARKS,"$1,500,000.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,500,000.00 "
2017,RECREATION AND PARKS,"$1,500,000.00 "
2018,TRANSPORTATION,"$1,500,000.00 "
2017,TRANSPORTATION,"$1,500,000.00 "
2016,TRANSPORTATION,"$1,500,000.00 "
2014,CITY ADMINISTRATIVE OFFICER,"$1,500,000.00 "
2017,TRANSPORTATION,"$1,500,000.00 "
2013,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,500,000.00 "
2013,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,500,000.00 "
2015,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,500,000.00 "
2014,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,500,000.00 "
2014,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,500,000.00 "
2014,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,500,000.00 "
2013,MAYOR,"$1,500,000.00 "
2017,RECREATION AND PARKS,"$1,500,000.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,500,000.00 "
2018,POLICE,"$1,500,000.00 "
2017,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,500,000.00 "
2016,NON-DEPARTMENTAL - UNAPPROPRIATED BALANCE,"$1,500,000.00 "
2017,RECREATION AND PARKS - SPECIAL ACCOUNTS,"$1,500,000.00 "
2018,TRANSPORTATION,"$1,500,000.00 "
2017,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"$1,500,000.00 "
2017,TRANSPORTATION,"$1,500,000.00 "
2018,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,500,000.00 "
2014,BUILDING AND SAFETY,"$1,501,509.57 "
2017,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,"$1,502,968.00 "
2018,CITY ATTORNEY,"$1,503,506.00 "
2012,TRANSPORTATION,"$1,504,083.00 "
2013,PUBLIC WORKS - STREET SERVICES,"$1,505,421.00 "
2013,CITY ATTORNEY,"$1,505,457.00 "
2017,PENSION,"$1,506,055.44 "
2015,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"$1,507,660.30 "
2012,TRANSPORTATION,"$1,509,316.02 "
2012,BUILDING AND SAFETY,"$1,510,737.00 "
2018,POLICE,"$1,511,886.77 "
2018,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,"$1,512,780.00 "
